Khan,Aaamir,M
Moorehead,Agnes,F
Mahmud,Ahmad,M
Kurosawa,Akira,M
Remy,Albert,M
Antonov,Aleksandr,M
Kajdanovsky,Aleksandr,M
Hitchcock,Alfred,M
Frejndlikh,Alisa,F
Farrokh Hashemian,Amir,M
Solonitsyn,Anatoli,M
Tarkovsky,Andrei,M
Lee,Ang,M
Paquin,Anna,F
Hopkins,Anthony,M
Perkins,Anthony,M
Attili,Antonella,F
San Juan,Antonio,M
Barcis,Artur,M
Brannon,Ash,M
Gowariker,Ashutosh,M
Tautou,Audrey,F
Seddiqi,Bahare,M
Luhrmann,Baz,M
Kingsley,Ben,M
Paxton,Bill,M
Zane,Billy,M
Ahlstedt,Borje,M
Pitt,Brad,M
Lin,Brigitte,F
Willis,Bruce,M
Keaton,Buster,M
Pena,Candela,F
Moss,Carrie-Ann,F
Roth,Cecilia,F
Chen,Chang,M
Chaplin,Charles,M
Smith,Charles,M
Heston,Charlton,M
Pei-pei,Cheng,F
Yun-fat,Chow,M
Colombus,Chris,M
Nolan,Christopher,M
Plummer,Christopher,M
Maurier,Claire,F
Rains,Claude,M
Bruckman,Clyde,M
Griffith,D.W.,M
Radcliffe,Daniel,M
Reynolds,Debbie,F
O'Connor,Donald,M
Comingore,Dorothy,F
Harris,Ed,M
Yang,Edward,M
Jin,Elaine,F
Chu,Emily,F
Watson,Emma,F
Cannavale,Enzo,F
Staiola,Enzo,F
McGregor,Ewan,F
Wong,Faye,F
Lee,Florence,F
O. Connor,Francis,M
X. Busman,Francis,M
Truffaut,Francois,M
Morgan,Frank,M
Potente,Franke,M
Niblo,Fred,M
Lockwood,Gary,M
Oldman,Gary,M
Trousdale,Gary,M
You,Ge,M
Davis,Geena,F
Kelly,Gene,F
Tornatore,Giuseppe,M
Stuart,Gloria,F
Li,Gong,F
Singh,Gracy,F
Aleksandrov,Grigori,F
Pearce,Guy,M
Joel Osment,Haley,M
Myers,Harry,M
Keitel,Harvey,M
Tantai,Hassan,M
Harareet,Haya,M
Miyazaki,Hayao,F
B. Walthall,Henry,M
Knaup,Herbert,M
Hunter,Holly,F
Hakimi,Hoyatala,F
Weaving,Hugo,M
Bogart,Humphrey,M
Hart,Ian,M
Bergman,Ingmar,M
Bergman,Ingrid,M
Jaroenpura,Intira,F
Ogata,Issey,M
Bobrov,Ivan,M
John,J.J.,M
Hawkins,Jack,M
Neo,Jack,M
Cheung,Jacky,M
Cameron,James,M
Tesarz,Jan,M
Campion,Jane,F
Leigh,Janet,F
Cocteau,Jean,F
Hagen,Jean,M
Marais,Jean,M
Jeunet,Jean-Pierre,M
Leaud,Jean-Pierre,M
Connelly,Jennifer,F
Irons,Jeremy,M
Li,Jet,M
Broadbent,Jim,M
Foster,Jodie,F
Pantoliano,Joe,M
Cleese,John,M
Gavin,John,M
Lasseter,John,M
Leguizamo,John,M
Woo,John,M
Chang,Jonathan,M
Demme,Jonathan,M
Day,Josette,F
Law,Jude,F
Garland,Judy,F
Moore,Julianne,F
Bannerjee,Kanu,M
Bannerjee,Karuna,M
Winslet,Kate,F
Bates,Kathy,F
Reeves,Keanu,M
Dullea,Keir,F
Lee,Kelly,F
Tsang,Kenneth,M
Cheng,Kent,M
Salleh,Khalid,M
Wise,Kirk,M
Adolphson,Kristina,F
Globisz,Krzysztof,F
Kieslowski,Krzysztof,F
Maggiorani,Lamberto,M
Fishburne,Laurence,M
Olivier,Laurence,M
Byung-hun,Lee,M
Lik-Chi,Lee,F
Yeong-ae,Lee,M
DiCaprio,Leonardo,M
Banks,Leslie,M
Cheung,Leslie,M
Neeson,Liam,M
Gish,Lilian,F
Tianchi,Liu,M
Hsiung,Lung,M
Night Shyamalan,M.,M
Eginton,Madison,M
Marsh,Mae,F
Smith,Maggie,F
Majidi,Majid,M
Mack,Marion,M
Paredes,Marisa,F
Addy,Mark,M
Balsam,Martin,M
Kassovitz,Matthieu,M
McAvoy,May,F
Curtiz,Michael,M
Yeoh,Michelle,F
Parely,Mila,F
Cooper,Miriam,F
Baka,Miroslaw,M
Chojnacka,Miroslawa,M
Amir,Mohammad,M
Makhmalbaf,Mohsen,M
Bleibtreu,Moritz,M
Man Tat,Ng,M
Ngasri,Ngasrizal,M
Kidman,Nicole,F
Pazira,Niloufar,F
Ben,Niu,M
Nimibutr,Nonzee,M
Williams,Olivia,F
Mumba,Omero,M
Jones,Orlando,M
Welles,Orson,M
Ramlee,P.,M
Chan-wook,Park,M
Blackthorne,Paul,M
Henreid,Paul,M
Almodovar,Pedro,M
Cruz,Penelope,F
Allwin,Pernilla,F
Lorre,Peter,M
Majumdar,Phani,M
Noiret,Philippe,M
Shelley,Rachel,F
Fiennes,Ralph,M
Novarro,Ramon,M
Bolger,Ray,M
Collins,Ray,M
Liotta,Ray,M
Asherton,Renee,F
Harris,Richard,M
Low,Richard,M
Roxburgh,Richard,M
Scott,Ridley,M
Allen,Rihard,M
Newton,Robert,M
Howard,Ron,M
Kwan,Rosamund,F
Grint,Rupert,F
Crowe,Russell,M
Teymouri,Sadou,M
Neill,Sam,M
Mumba,Samantha,F
Ray,Satyajit,M
Glenn,Scott,M
Tan,Selena,F
Eisenstein,Sergei,M
Wells,Simon,M
Kang-ho,Song,M
Donen,Stanley,M
Kubrick,Stanley,M
Chow,Stephen,M
Spielberg,Steven,M
Bannerjee,Subir,M
Sarandon,Susan,F
Pollack,Sydney,F
Shimura,Takashi,M
Kaneshiro,Takeshi,M
Lung,Ti,M
Cruise,Tom,M
Twyker,Tom,M
Collette,Tony,M
Leung Chiu-wai,Tony,M
Mifune,Toshiro,M
Tse,Yin,M
Tsui,Hark,M
Das Gupta,Uma,F
Hj Saari,U-Wei,F
Miles,Vera,M
Zhao,Vicky,F
Fleming,Victor,M
Cherrill,Virginia,F
De Sica,Vittorio,M
bros.,Wachowski,M
Lee,Waise,M
Hurt,William,M
Sylvester,William,M
Wyler,William,M
